source,target,relationship,weight
phone:+919195652136,account:ACC66638,transferred_to,0.539
phone:+919235245416,account:ACC71252,used_account,0.568
phone:+917071750595,account:ACC91115,device_link,0.326
phone:+917938247846,account:ACC73107,called_victim,0.604
phone:+919467479097,account:ACC49037,used_account,0.291
phone:+917205874049,account:ACC88581,used_account,0.948
phone:+919619470136,account:ACC94702,device_link,0.826
phone:+918550480137,account:ACC12582,device_link,0.203
phone:+918363622805,account:ACC58491,used_account,0.751
phone:+918233321087,account:ACC74896,transferred_to,0.409
phone:+919292697492,account:ACC77835,called_victim,0.296
phone:+917503217697,account:ACC22175,used_account,0.649
phone:+917492798894,account:ACC45026,used_account,0.971
phone:+917468486425,account:ACC56718,transferred_to,0.299
phone:+917165752668,account:ACC14563,used_account,0.887
phone:+918768721054,account:ACC40316,called_victim,0.739
phone:+918252629212,account:ACC42744,transferred_to,0.579
phone:+918234609146,account:ACC26351,called_victim,0.428
phone:+918384959030,account:ACC35101,used_account,0.685
phone:+918297620687,account:ACC53859,called_victim,0.633
phone:+919053669533,account:ACC93105,transferred_to,0.887
phone:+919044199309,account:ACC71855,device_link,0.296
phone:+917878158192,account:ACC66698,transferred_to,0.794
phone:+918761021819,account:ACC63066,used_account,0.944
phone:+919935637155,account:ACC60111,called_victim,0.761
phone:+917091325817,account:ACC76110,transferred_to,0.398
phone:+918866409730,account:ACC80061,device_link,0.862
phone:+917264219909,account:ACC72458,device_link,0.223
phone:+918279946663,account:ACC16319,called_victim,0.586
phone:+917436108314,account:ACC19572,transferred_to,0.951
phone:+919173463543,account:ACC29256,called_victim,0.894
phone:+918442309435,account:ACC27322,used_account,0.429
phone:+919135361550,account:ACC78844,device_link,0.569
phone:+917572775319,account:ACC44569,used_account,0.574
phone:+918195542159,account:ACC69028,device_link,0.65
phone:+917234048767,account:ACC96932,used_account,0.595
phone:+918322866472,account:ACC56961,transferred_to,0.378
phone:+918720145618,account:ACC51488,called_victim,0.496
phone:+917719919445,account:ACC63165,transferred_to,0.964
phone:+918783418783,account:ACC82805,called_victim,0.775
phone:+917128293386,account:ACC34134,used_account,0.468
phone:+918002735414,account:ACC72406,transferred_to,0.969
phone:+918053669172,account:ACC57733,device_link,0.607
phone:+919087669228,account:ACC42548,called_victim,0.377
phone:+918452731372,account:ACC67498,called_victim,0.795
phone:+919563964719,account:ACC66367,device_link,0.931
phone:+917162702164,account:ACC50893,transferred_to,0.642
phone:+919624373893,account:ACC77476,used_account,0.761
phone:+918446811169,account:ACC75362,called_victim,0.927
phone:+917562771518,account:ACC19307,called_victim,0.948
phone:+917998224209,account:ACC46212,used_account,0.987
phone:+917382877525,account:ACC21778,called_victim,0.67
phone:+919239706030,account:ACC51917,called_victim,0.783
phone:+919761983629,account:ACC92053,transferred_to,0.798
phone:+917362324872,account:ACC15323,called_victim,0.859
phone:+917437594773,account:ACC33418,used_account,0.441
phone:+917982039301,account:ACC20177,device_link,0.369
phone:+917853504385,account:ACC25088,transferred_to,0.599
phone:+918756693607,account:ACC68386,used_account,0.299
phone:+917459082477,account:ACC71093,called_victim,0.703
phone:+919209149586,account:ACC67401,device_link,0.869
phone:+917421990029,account:ACC51154,device_link,0.253
phone:+919853180754,account:ACC14273,called_victim,0.659
phone:+917913431673,account:ACC69638,device_link,0.919
phone:+919740605455,account:ACC19717,called_victim,0.566
phone:+917395135827,account:ACC19140,device_link,0.327
phone:+918339349266,account:ACC80095,called_victim,0.882
phone:+918486284622,account:ACC52358,used_account,0.469
phone:+918628487874,account:ACC12567,transferred_to,0.655
phone:+918932498950,account:ACC31855,transferred_to,0.58
phone:+918802736326,account:ACC35270,called_victim,0.635
phone:+917633399903,account:ACC54856,transferred_to,0.633
phone:+917485309331,account:ACC95770,transferred_to,0.965
phone:+919451676641,account:ACC68328,transferred_to,0.893
phone:+919138291349,account:ACC52570,device_link,0.256
phone:+917890071799,account:ACC49459,used_account,0.206
phone:+917628150097,account:ACC41959,transferred_to,0.966
phone:+917181454979,account:ACC52875,transferred_to,0.778
phone:+918459963315,account:ACC96546,called_victim,0.841
phone:+917262323203,account:ACC45949,device_link,0.728
phone:+919968124961,account:ACC43284,device_link,0.43
phone:+917571643923,account:ACC19628,used_account,0.632
phone:+919198344434,account:ACC86703,called_victim,0.894
phone:+917031562760,account:ACC28426,transferred_to,0.243
phone:+919129664852,account:ACC38622,transferred_to,0.606
phone:+917243930125,account:ACC78821,called_victim,0.546
phone:+917906688255,account:ACC15419,transferred_to,0.702
phone:+917858830563,account:ACC35089,transferred_to,0.553
phone:+917283001185,account:ACC82985,transferred_to,0.443
phone:+918433629518,account:ACC97811,device_link,0.873
phone:+918547933824,account:ACC43613,device_link,0.713
phone:+917769323408,account:ACC35274,used_account,0.624
phone:+919844152090,account:ACC74581,used_account,0.485
phone:+919403082658,account:ACC26614,used_account,0.94
phone:+919401842840,account:ACC94340,used_account,0.728
phone:+918959390965,account:ACC82037,called_victim,0.703
phone:+919612948703,account:ACC76162,device_link,0.591
phone:+918520472439,account:ACC84301,called_victim,0.684
phone:+918334692982,account:ACC29257,used_account,0.208
phone:+918216463521,account:ACC83117,used_account,0.985
phone:+917976357244,account:ACC64856,used_account,0.354
phone:+917322916071,account:ACC90287,used_account,0.532
phone:+917044643438,account:ACC54095,called_victim,0.287
phone:+918668493483,account:ACC53229,called_victim,0.652
phone:+918162410699,account:ACC77802,used_account,0.313
phone:+917626357966,account:ACC21531,used_account,0.612
phone:+917116935641,account:ACC57684,called_victim,0.224
phone:+918868222994,account:ACC85109,transferred_to,0.962
phone:+918912688037,account:ACC41430,called_victim,0.338
phone:+919703969420,account:ACC96215,used_account,0.672
phone:+919061126537,account:ACC91942,used_account,0.929
phone:+917855848779,account:ACC61148,transferred_to,0.732
phone:+917353954324,account:ACC36495,device_link,0.699
phone:+918867346923,account:ACC93683,used_account,0.538
phone:+918922262881,account:ACC69035,transferred_to,0.895
phone:+918430589644,account:ACC70891,device_link,0.407
phone:+918601981868,account:ACC89260,used_account,0.814
phone:+918665198836,account:ACC61287,transferred_to,0.436
phone:+918302981188,account:ACC92989,transferred_to,0.304
phone:+918106943085,account:ACC49425,transferred_to,0.803
phone:+919208378922,account:ACC63088,transferred_to,0.653
phone:+919513564751,account:ACC76634,transferred_to,0.958
phone:+917139291407,account:ACC51762,called_victim,0.225
phone:+917164083456,account:ACC49995,transferred_to,0.826
phone:+917253699950,account:ACC16468,called_victim,0.642
phone:+917494495368,account:ACC14348,transferred_to,0.38
phone:+919467959945,account:ACC63332,used_account,0.725
phone:+919388848034,account:ACC31201,device_link,0.739
phone:+918779050805,account:ACC19777,transferred_to,0.753
phone:+918771649622,account:ACC97836,used_account,0.803
phone:+918053713494,account:ACC28311,device_link,0.753
phone:+919221860067,account:ACC64910,used_account,0.672
phone:+919701419195,account:ACC85386,called_victim,0.497
phone:+918093638136,account:ACC87869,device_link,0.365
phone:+917983542608,account:ACC23595,transferred_to,0.836
phone:+919259582249,account:ACC39031,called_victim,0.282
phone:+917842031179,account:ACC17184,used_account,0.427
phone:+918125419783,account:ACC93314,transferred_to,0.854
phone:+919300871421,account:ACC92595,transferred_to,0.533
phone:+919683569673,account:ACC74380,called_victim,0.365
phone:+917840548234,account:ACC62034,used_account,0.577
phone:+918070719212,account:ACC72551,transferred_to,0.974
phone:+919861913313,account:ACC41942,transferred_to,0.827
phone:+918774882583,account:ACC67032,called_victim,0.538
phone:+918471090970,account:ACC83802,called_victim,0.57
phone:+918166008602,account:ACC37648,called_victim,0.328
phone:+919919578446,account:ACC81442,called_victim,0.787
phone:+917730717589,account:ACC65344,called_victim,0.58
phone:+919177812664,account:ACC44961,device_link,0.504
phone:+917563747101,account:ACC98218,used_account,0.51
phone:+917798675887,account:ACC90571,called_victim,0.614
phone:+917501755323,account:ACC75868,called_victim,0.604
phone:+919755344907,account:ACC31847,transferred_to,0.855
phone:+919217675483,account:ACC77179,device_link,0.626
phone:+918389937151,account:ACC72631,transferred_to,0.357
phone:+919401694702,account:ACC42788,transferred_to,0.886
phone:+917398938140,account:ACC20867,called_victim,0.929
phone:+919482856604,account:ACC87791,device_link,0.787
phone:+919218623306,account:ACC18321,used_account,0.931
phone:+918373193436,account:ACC18925,used_account,0.546
phone:+919226365928,account:ACC68943,used_account,0.463
phone:+917653075380,account:ACC35194,used_account,0.278
phone:+919069334084,account:ACC86710,used_account,0.509
phone:+918492895430,account:ACC31779,called_victim,0.878
phone:+917843545446,account:ACC10963,device_link,0.502
phone:+918804065077,account:ACC98131,called_victim,0.916
phone:+917274672867,account:ACC63454,called_victim,0.563
phone:+918125251831,account:ACC33981,transferred_to,0.453
phone:+917028523278,account:ACC64690,device_link,0.811
phone:+919900082210,account:ACC56517,device_link,0.545
phone:+918060239513,account:ACC97560,device_link,0.565
phone:+917301544670,account:ACC72219,called_victim,0.34
phone:+917674653536,account:ACC32362,used_account,0.665
phone:+919825156502,account:ACC79030,used_account,0.642
phone:+918955706893,account:ACC61195,called_victim,0.949
phone:+919835769226,account:ACC75023,called_victim,0.793
phone:+917960755145,account:ACC45557,device_link,0.798
phone:+917810124790,account:ACC92958,device_link,0.853
phone:+919335855455,account:ACC37622,transferred_to,0.608
phone:+919252151191,account:ACC77704,device_link,0.889
phone:+918024910219,account:ACC35209,used_account,0.8
phone:+918460432745,account:ACC31330,used_account,0.853
phone:+917003110930,account:ACC86827,device_link,0.98
phone:+917216553210,account:ACC53616,device_link,0.823
phone:+919539995751,account:ACC91305,transferred_to,0.384
phone:+917213879707,account:ACC39066,used_account,0.989
phone:+919697117980,account:ACC34818,device_link,0.523
phone:+919278936639,account:ACC57624,device_link,0.487
phone:+917635003971,account:ACC86097,called_victim,0.449
phone:+917375269097,account:ACC48398,used_account,0.974
phone:+919598682800,account:ACC18841,transferred_to,0.958
phone:+919640515627,account:ACC39100,transferred_to,0.356
phone:+919700118195,account:ACC36938,transferred_to,0.233
phone:+917070069330,account:ACC79071,called_victim,0.871
phone:+917863925420,account:ACC44239,transferred_to,0.234
phone:+918532890287,account:ACC68304,called_victim,0.686
phone:+919380711441,account:ACC14693,used_account,0.824
phone:+917846754727,account:ACC47446,used_account,0.817
phone:+917806554905,account:ACC62910,transferred_to,0.495
phone:+917431075084,account:ACC96187,device_link,0.731
phone:+918130440168,account:ACC91720,device_link,0.401
phone:+918883901426,account:ACC51431,used_account,0.932
phone:+919944129514,account:ACC72496,transferred_to,0.44
phone:+919855169302,account:ACC73913,transferred_to,0.72
phone:+917451555888,account:ACC26634,used_account,0.607
phone:+919887547289,account:ACC59604,transferred_to,0.623
phone:+917593863641,account:ACC78772,transferred_to,0.449
phone:+918204099771,account:ACC40854,used_account,0.203
phone:+917806820797,account:ACC18864,used_account,0.831
phone:+918208845795,account:ACC78968,called_victim,0.575
phone:+919201517629,account:ACC47384,used_account,0.696
phone:+919228082207,account:ACC87756,used_account,0.345
phone:+918501497556,account:ACC56997,called_victim,0.522
phone:+918941908342,account:ACC93450,transferred_to,0.835
phone:+919019265842,account:ACC66156,used_account,0.604
phone:+917180674524,account:ACC56393,called_victim,0.592
phone:+918289991981,account:ACC61251,transferred_to,0.313
phone:+917884394724,account:ACC84360,device_link,0.573
phone:+918882028235,account:ACC70171,transferred_to,0.53
phone:+917040871471,account:ACC49536,device_link,0.908
phone:+919028813173,account:ACC80087,called_victim,0.4
phone:+919718581995,account:ACC25256,device_link,0.768
phone:+918686269009,account:ACC70011,transferred_to,0.912
phone:+919999432250,account:ACC11369,used_account,0.332
phone:+918084735357,account:ACC99762,transferred_to,0.883
phone:+919552131578,account:ACC81932,transferred_to,0.795
phone:+919579965908,account:ACC43728,transferred_to,0.889
phone:+917612106659,account:ACC61044,called_victim,0.427
phone:+919218471704,account:ACC30191,called_victim,0.894
phone:+919737414232,account:ACC47366,used_account,0.75
phone:+917938193597,account:ACC99479,used_account,0.929
phone:+917096842720,account:ACC22402,transferred_to,0.321
phone:+919787301731,account:ACC56603,device_link,0.445
phone:+917090933194,account:ACC94764,transferred_to,0.557
phone:+918256822976,account:ACC11907,used_account,0.307
phone:+919895437344,account:ACC70999,device_link,0.491
phone:+919767147823,account:ACC68305,called_victim,0.943
phone:+918533871581,account:ACC46536,used_account,0.733
phone:+918477677610,account:ACC80128,transferred_to,0.816
phone:+919652420476,account:ACC43427,transferred_to,0.986
phone:+918418524030,account:ACC22775,transferred_to,0.804
phone:+918140119058,account:ACC97883,device_link,0.6
phone:+919653642346,account:ACC85444,called_victim,0.934
phone:+919686675636,account:ACC44953,device_link,0.932
phone:+919144560110,account:ACC24974,transferred_to,0.475
phone:+917788079777,account:ACC87686,device_link,0.441
phone:+917261104315,account:ACC40442,device_link,0.534
phone:+917755985040,account:ACC41810,used_account,0.982
phone:+918240261879,account:ACC86917,device_link,0.94
phone:+918928146741,account:ACC81534,used_account,0.698
phone:+917893445733,account:ACC12526,used_account,0.878
phone:+919711277091,account:ACC28814,used_account,0.796
phone:+918699468873,account:ACC38083,device_link,0.879
phone:+919830704317,account:ACC76748,called_victim,0.399
phone:+917838762512,account:ACC66442,used_account,0.203
phone:+919953741620,account:ACC15136,device_link,0.989
phone:+919157405172,account:ACC53966,device_link,0.941
phone:+919780775882,account:ACC71788,used_account,0.254
phone:+917788951508,account:ACC71841,device_link,0.266
phone:+917845851711,account:ACC29099,used_account,0.44
phone:+917240647793,account:ACC87671,called_victim,0.285
phone:+918825186873,account:ACC46382,transferred_to,0.667
phone:+918074873887,account:ACC46575,transferred_to,0.385
phone:+917452509128,account:ACC41814,called_victim,0.485
phone:+919809525280,account:ACC92222,used_account,0.622
phone:+917122205742,account:ACC78704,transferred_to,0.455
phone:+918311018660,account:ACC34878,transferred_to,0.884
phone:+919014382262,account:ACC70743,transferred_to,0.502
phone:+917826374708,account:ACC12803,transferred_to,0.346
phone:+917635492920,account:ACC79914,transferred_to,0.595
phone:+917147336293,account:ACC29094,device_link,0.606
phone:+919455980433,account:ACC51690,transferred_to,0.959
phone:+917893288467,account:ACC29048,device_link,0.478
phone:+917537572211,account:ACC66380,transferred_to,0.4
phone:+919084270711,account:ACC16360,called_victim,0.324
phone:+918397792736,account:ACC34212,transferred_to,0.444
phone:+918385323293,account:ACC86667,called_victim,0.264
phone:+919098370370,account:ACC36978,transferred_to,0.897
phone:+918320117118,account:ACC70929,transferred_to,0.496
phone:+918974629137,account:ACC29700,device_link,0.215
phone:+917492534617,account:ACC92431,called_victim,0.935
phone:+919690829213,account:ACC21184,called_victim,0.619
phone:+918928649512,account:ACC96576,called_victim,0.944
phone:+919107819005,account:ACC42753,called_victim,0.383
phone:+917888345471,account:ACC62079,used_account,0.363
phone:+918607970276,account:ACC56379,device_link,0.976
phone:+917973929867,account:ACC81909,transferred_to,0.563
phone:+918223432228,account:ACC93742,called_victim,0.481
phone:+919872456790,account:ACC73147,device_link,0.627
phone:+919505744164,account:ACC38464,transferred_to,0.611
phone:+918063958477,account:ACC67548,used_account,0.823
phone:+917177297890,account:ACC84476,device_link,0.482
phone:+919683492623,account:ACC23403,used_account,0.754
phone:+919361469958,account:ACC96198,device_link,0.464
phone:+919058200846,account:ACC41835,called_victim,0.324
phone:+919578054715,account:ACC83939,called_victim,0.929
phone:+919930251994,account:ACC91657,transferred_to,0.288
phone:+917525147058,account:ACC12975,transferred_to,0.691
phone:+918779429053,account:ACC75964,used_account,0.464
phone:+919010925401,account:ACC83138,transferred_to,0.518
phone:+917235101755,account:ACC16778,used_account,0.637
phone:+918747314565,account:ACC36353,transferred_to,0.852
phone:+917107141279,account:ACC24301,device_link,0.357
phone:+919410926647,account:ACC32924,device_link,0.894
phone:+917645411148,account:ACC59706,used_account,0.986
phone:+918476865257,account:ACC68453,called_victim,0.705
phone:+917198702468,account:ACC46179,called_victim,0.318
phone:+919152261680,account:ACC30943,device_link,0.966
phone:+918216066675,account:ACC43957,device_link,0.924
phone:+918371372493,account:ACC87461,used_account,0.957
phone:+919221081854,account:ACC59938,called_victim,0.516
phone:+918574135707,account:ACC84036,used_account,0.876
phone:+919173740353,account:ACC84430,called_victim,0.586
phone:+919431821431,account:ACC74127,transferred_to,0.291
phone:+919723266486,account:ACC57611,called_victim,0.753
phone:+917026840652,account:ACC67710,used_account,0.277
phone:+919797235191,account:ACC92282,transferred_to,0.597
phone:+919287979879,account:ACC28754,device_link,0.571
phone:+917824797691,account:ACC51180,device_link,0.794
phone:+918241857336,account:ACC34596,used_account,0.287
phone:+917196747739,account:ACC42443,transferred_to,0.23
phone:+919912442607,account:ACC44297,device_link,0.983
phone:+917365830105,account:ACC23454,transferred_to,0.807
phone:+919048177136,account:ACC95095,called_victim,0.96
phone:+919972936392,account:ACC39119,device_link,0.96
phone:+918240247351,account:ACC36798,transferred_to,0.357
phone:+918161194415,account:ACC81382,called_victim,0.556
phone:+917502436539,account:ACC36627,transferred_to,0.459
phone:+917920816458,account:ACC41825,called_victim,0.962
phone:+919627657737,account:ACC77551,used_account,0.343
phone:+918802754061,account:ACC68290,device_link,0.726
phone:+919363108829,account:ACC94478,transferred_to,0.555
phone:+917095290677,account:ACC39685,transferred_to,0.942
phone:+919159947182,account:ACC73671,used_account,0.792
phone:+919470319068,account:ACC76156,called_victim,0.254
phone:+917148441492,account:ACC52116,transferred_to,0.805
phone:+919048965947,account:ACC18976,transferred_to,0.67
phone:+919119382928,account:ACC16852,used_account,0.761
phone:+918899255305,account:ACC21873,called_victim,0.697
phone:+917178128347,account:ACC30681,called_victim,0.253
phone:+918563821916,account:ACC10232,used_account,0.86
phone:+918312321262,account:ACC61191,transferred_to,0.372
phone:+919080930990,account:ACC48672,transferred_to,0.866
phone:+917593700258,account:ACC89030,transferred_to,0.772
phone:+917207705310,account:ACC98232,called_victim,0.904
phone:+918391816885,account:ACC20485,used_account,0.569
phone:+918613256580,account:ACC66183,called_victim,0.601
phone:+918597773947,account:ACC45524,device_link,0.765
phone:+919827500082,account:ACC46352,transferred_to,0.624
phone:+918840742943,account:ACC64716,used_account,0.721
phone:+917277774843,account:ACC40744,used_account,0.885
phone:+918527275345,account:ACC56060,device_link,0.62
phone:+917475703732,account:ACC83008,used_account,0.466
phone:+917883868243,account:ACC91285,device_link,0.704
phone:+919096326592,account:ACC79773,device_link,0.253
phone:+917595798153,account:ACC53387,used_account,0.48
phone:+918442280903,account:ACC74958,used_account,0.342
phone:+917244051083,account:ACC76070,called_victim,0.594
phone:+917857983434,account:ACC20999,device_link,0.797
phone:+917513386533,account:ACC89943,called_victim,0.858
phone:+919811201967,account:ACC37838,transferred_to,0.731
phone:+919416943590,account:ACC59393,transferred_to,0.272
phone:+917010842625,account:ACC97942,transferred_to,0.906
phone:+917962666827,account:ACC73644,called_victim,0.635
phone:+919054802115,account:ACC90637,device_link,0.922
phone:+917550813284,account:ACC77162,transferred_to,0.283
phone:+917152893697,account:ACC39092,transferred_to,0.463
phone:+918589782318,account:ACC77469,transferred_to,0.716
phone:+918915968361,account:ACC73074,used_account,0.888
phone:+919632416662,account:ACC11108,used_account,0.698
phone:+918418265216,account:ACC87713,called_victim,0.481
phone:+918808619714,account:ACC33732,called_victim,0.865
phone:+917340152575,account:ACC99105,transferred_to,0.501
phone:+918417061034,account:ACC66487,transferred_to,0.763
phone:+919743469304,account:ACC59502,called_victim,0.562
phone:+917015060693,account:ACC20131,transferred_to,0.831
phone:+918393843547,account:ACC18855,used_account,0.962
phone:+918565230812,account:ACC26909,called_victim,0.304
phone:+917658182788,account:ACC22944,device_link,0.833
phone:+919998464948,account:ACC13247,transferred_to,0.364
phone:+917315518984,account:ACC45758,transferred_to,0.809
phone:+917983652921,account:ACC48247,transferred_to,0.816
phone:+919815737671,account:ACC14203,device_link,0.714
phone:+918606823959,account:ACC65076,used_account,0.513
phone:+919720814087,account:ACC99438,device_link,0.375
phone:+919966413530,account:ACC26996,transferred_to,0.693
phone:+919985781741,account:ACC50821,used_account,0.344
phone:+918812050892,account:ACC83111,used_account,0.201
phone:+919126000033,account:ACC86322,device_link,0.225
phone:+918650241320,account:ACC14044,used_account,0.37
phone:+917132312568,account:ACC11536,used_account,0.649
phone:+919395013607,account:ACC43536,device_link,0.574
phone:+919323797442,account:ACC43018,called_victim,0.837
phone:+918129119621,account:ACC53109,used_account,0.953
phone:+919909213274,account:ACC69321,device_link,0.469
phone:+918203311448,account:ACC50037,used_account,0.259
phone:+919506439326,account:ACC34873,device_link,0.351
phone:+918060091655,account:ACC81901,transferred_to,0.582
phone:+919324995564,account:ACC97823,transferred_to,0.645
phone:+918762758516,account:ACC37341,device_link,0.285
phone:+919501384452,account:ACC27714,transferred_to,0.646
phone:+918760818940,account:ACC15771,transferred_to,0.651
phone:+918271437573,account:ACC96104,called_victim,0.4
phone:+919822717440,account:ACC21932,called_victim,0.479
phone:+917113918499,account:ACC79481,used_account,0.227
phone:+917552842790,account:ACC73814,called_victim,0.853
phone:+917555495148,account:ACC82781,used_account,0.912
phone:+919586460963,account:ACC97327,used_account,0.221
phone:+917660770030,account:ACC11068,called_victim,0.869
phone:+917176960574,account:ACC99411,used_account,0.457
phone:+918215979707,account:ACC31113,transferred_to,0.715
phone:+917047692034,account:ACC65963,called_victim,0.354
phone:+918999356406,account:ACC29936,used_account,0.416
phone:+918960845791,account:ACC83919,called_victim,0.349
phone:+917710181315,account:ACC68803,used_account,0.675
phone:+918828460080,account:ACC15719,used_account,0.565
phone:+919462499459,account:ACC60110,transferred_to,0.731
phone:+918543675954,account:ACC34063,device_link,0.95
phone:+919981690344,account:ACC96890,transferred_to,0.618
phone:+917254285934,account:ACC54303,device_link,0.448
phone:+917408602868,account:ACC32486,transferred_to,0.614
phone:+919798110727,account:ACC66615,device_link,0.301
phone:+919473284503,account:ACC10335,device_link,0.657
phone:+919088689089,account:ACC21186,used_account,0.602
phone:+917155154320,account:ACC27641,called_victim,0.583
phone:+919770166628,account:ACC38385,transferred_to,0.711
phone:+917383761707,account:ACC46013,transferred_to,0.431
phone:+919273856435,account:ACC84799,used_account,0.603
phone:+917295637472,account:ACC56781,used_account,0.63
phone:+918522387490,account:ACC47641,transferred_to,0.568
phone:+918159494354,account:ACC41039,called_victim,0.569
phone:+918636650798,account:ACC95992,transferred_to,0.559
phone:+918432478861,account:ACC97300,used_account,0.562
phone:+918111053937,account:ACC10195,transferred_to,0.658
phone:+917649922268,account:ACC64162,called_victim,0.715
phone:+919704110142,account:ACC81134,used_account,0.435
phone:+919516374716,account:ACC23082,transferred_to,0.88
phone:+919625308677,account:ACC31699,called_victim,0.348
phone:+919652529042,account:ACC62930,device_link,0.346
phone:+917057616628,account:ACC91917,used_account,0.688
phone:+919542974891,account:ACC91285,device_link,0.808
phone:+919898637685,account:ACC75651,used_account,0.334
phone:+917725362392,account:ACC13780,transferred_to,0.815
phone:+919660741983,account:ACC97650,called_victim,0.873
phone:+917424461028,account:ACC92107,device_link,0.544
phone:+918338595993,account:ACC92117,transferred_to,0.988
phone:+919015810721,account:ACC85336,device_link,0.38
phone:+917302324102,account:ACC52143,transferred_to,0.491
phone:+918573030865,account:ACC96032,transferred_to,0.919
phone:+918546896390,account:ACC25491,device_link,0.573
phone:+918613643327,account:ACC16193,used_account,0.652
phone:+919342946288,account:ACC75490,used_account,0.889
phone:+919800704315,account:ACC57381,called_victim,0.949
phone:+917725033770,account:ACC55004,used_account,0.416
phone:+919790574374,account:ACC36756,called_victim,0.312
phone:+919117133517,account:ACC33109,called_victim,0.286
phone:+919907118081,account:ACC14301,called_victim,0.497
phone:+918691535079,account:ACC21753,used_account,0.474
phone:+919175426931,account:ACC49538,called_victim,0.773
phone:+918362708342,account:ACC48364,transferred_to,0.703
